LMM GLMM GEE
-0.0197947922181037 -0.504529386787251 -0.480156629435521
-0.0303569605400497 -0.859706714276903 -0.828051736808246
-0.0153748315337155 -0.430251233041961 -0.437640345926053
-0.0120178576108597 -0.328207328699598 -0.326790826221302
-0.0117819658990306 -0.295798234030376 -0.291960482075877
-0.012469788653722 -0.344329894953511 -0.334433659009558
-0.0215206459105778 -0.628230887782968 -0.59278134197866
-0.0154840907414211 -0.372453171289941 -0.341416074225458
-0.0233193238906185 -0.561180457140273 -0.611412290116505
-0.0218955659675266 -0.603191811542738 -0.581512431590229
-0.0190135382474377 -0.61911779336837 -0.64521747690632
-0.0208974070999845 -0.552329620733 -0.540132080574904
-0.0199192376046605 -0.609642013850682 -0.583591645131299
-0.0165636087999178 -0.437262456702597 -0.482310020753403
-0.0264672394467664 -0.888545423338488 -0.868989955250027
-0.0258747276609774 -0.732872443563233 -0.677229873822015
-0.0290767934960534 -0.768401807088361 -0.752276891968676
-0.0267806530884906 -0.628770323300595 -0.609657124450324
-0.0269467687391285 -0.636782603441958 -0.641211266729205
-0.0149774915680304 -0.382400953160298 -0.391029894023024
-0.0240171091613989 -0.620104673484868 -0.626119617746257
-0.0348673536919293 -0.891807266872535 -0.870974844938721
-0.0156713105076484 -0.402057771077215 -0.384987239952072
-0.0316239186225818 -0.797867701453773 -0.757141682236108
-0.0223319742736056 -0.625059132930345 -0.654998919795999
-0.0152764819214304 -0.499432319509747 -0.519987871515935
-0.0137492328443118 -0.399706743980946 -0.406345924034798
-0.0104243769439037 -0.235335447945115 -0.23054814559871
-0.0193012229921472 -0.453161475625438 -0.43592287579646
-0.0133651487735192 -0.380321050097763 -0.386105607732596
-0.0202324912683398 -0.563602384369301 -0.565553964412995
-0.0263268909707232 -0.856267842488537 -0.975576793450952
-0.0283105101279224 -0.79936257094203 -0.771215529768125
-0.0174839871832616 -0.475645903432502 -0.493492171729303
-0.0142015567505919 -0.353907274751537 -0.362066229899122
-0.0152714541591983 -0.496829751815704 -0.501317752871697
-0.0188811804761948 -0.516946475596207 -0.51846267708713
-0.018766083459795 -0.507511962974066 -0.506302480805378
-0.0171579618586362 -0.4940455434374 -0.471158202408184
-0.00854382967955742 -0.243882990005397 -0.261996254166322
-0.0185439976781418 -0.527017191483674 -0.517189470794404
-0.0286364090203981 -0.759990877507213 -0.755709123129107
-0.0241521639728297 -0.677334753011729 -0.643093019680531
-0.0202909983783966 -0.432576426088427 -0.445914116034535
-0.0243911578142181 -0.608688676934679 -0.631137102308651
-0.0279370448727377 -0.765590388409406 -0.739931098008569
-0.0255126110136032 -0.649742654909867 -0.619859046936085
-0.0186354327411984 -0.506549931361713 -0.541855295908856
-0.0105050730312717 -0.258788079995578 -0.269708054844735
-0.022677361419785 -0.657209719871455 -0.613481215917564
-0.0223172233909963 -0.676342254904401 -0.647302657313956
-0.0282399862790487 -0.809841551383564 -0.785508280228269
-0.0156551010870652 -0.426642592170666 -0.409723064860968
-0.0227904561139712 -0.586082981558168 -0.555091141537343
-0.0234910258342083 -0.592253003835671 -0.56737755374507
-0.0333567016348205 -0.806093988701641 -0.793899571286379
-0.0226759650054714 -0.615481004477638 -0.564094429934926
-0.0217723047873336 -0.691530349387581 -0.662133063628198
-0.0155383628841361 -0.397492191151059 -0.419444600710093
-0.0196081205907098 -0.522254181267183 -0.511118622561809
-0.0225625271862157 -0.616368031854419 -0.618507601113114
-0.0217637131944201 -0.602108651011937 -0.616822089025953
-0.0189860033813592 -0.57435685941967 -0.604913616386793
-0.0218546724928573 -0.545117367939204 -0.495383817972061
-0.0122505200878328 -0.357430499878605 -0.341251045144069
-0.0185497963726994 -0.516462150231066 -0.46668963825507
-0.017663340325697 -0.510717528165589 -0.517227341045824
-0.0247354852031033 -0.726298493511255 -0.737354592523846
-0.0216703698041669 -0.590401666748057 -0.534924089348216
-0.0164726148470341 -0.406130341201737 -0.413192238516052
-0.00502729854102189 -0.133524649453609 -0.11672289670766
-0.0190613171801509 -0.57575846336562 -0.510189022503367
-0.0256015048235142 -0.75563332349247 -0.706200275529775
-0.0225314909950996 -0.594802615533109 -0.605984563721023
-0.0207665307937821 -0.622714961674163 -0.628369700726703
-0.0082658325732545 -0.235481894236425 -0.248154006510122
-0.0242150785027379 -0.692434912681306 -0.693210124580539
-0.0250844587421903 -0.702057904872638 -0.667654938766445
-0.0192563736172474 -0.485775081042768 -0.507811785292307
-0.0254489494324629 -0.704806471536565 -0.692494815704664
-0.0279542792774175 -0.764088811635438 -0.798016010467294
-0.0126079827735374 -0.303173512161542 -0.301843265456883
-0.012871243976141 -0.35015518238326 -0.362749264485325
-0.0154803307826578 -0.458861565456956 -0.440702699483935
-0.0244533636102421 -0.566881459916033 -0.549393522326652
-0.025726460751806 -0.661375809349859 -0.638470313305335
-0.0160451098634425 -0.407409089234186 -0.429080042724017
-0.0231382842816668 -0.672829595636279 -0.706994087258888
-0.0245685156673546 -0.764794714620165 -0.747981509524144
-0.0273144103400032 -0.692697664528425 -0.715313622473134
-0.0249711174045528 -0.680453831315428 -0.774642132680523
-0.0144648239079917 -0.443101601220772 -0.424965343516391
-0.0192925186444691 -0.467240926333771 -0.449183105412468
-0.0169941975878994 -0.482070625434723 -0.4647344743367
-0.0305630779823575 -0.772985155044188 -0.805752223947906
-0.00727820183124072 -0.178313679880994 -0.182140016748231
-0.0153599914365729 -0.453168387408819 -0.466972852580864
-0.0293676071182008 -0.727646159208537 -0.732903920223724
-0.0257728757246582 -0.711167717056179 -0.67064513012779
-0.0232687891612171 -0.612757513031439 -0.643272236502048
-0.0231685429701281 -0.580227555007992 -0.598097331335603
-0.030718013494737 -0.784307963911947 -0.758472518137412
-0.0222032337374074 -0.674703392708034 -0.68553321490744
-0.024061087166297 -0.634194523401653 -0.638818041167958
-0.0224364194103884 -0.623010150361901 -0.60702366556587
-0.0151832029125991 -0.383011549315339 -0.373850539896314
-0.0168786993556382 -0.48531383957858 -0.496425001773389
-0.0295599890769146 -0.714403976543315 -0.724086022537005
-0.0132852714829175 -0.385424395306126 -0.388006413424587
-0.0288860700259548 -0.744782621520503 -0.753481704369105
-0.017121388504656 -0.488974811565737 -0.453268621192624
-0.0197690102196591 -0.489956418709425 -0.504582566097111
-0.0216627805128859 -0.537614249868668 -0.538243050899268
-0.0305701584525794 -0.9225163106831 -0.951836775387433
-0.0200531855004041 -0.536680347927645 -0.529886329850358
-0.0166604863290515 -0.466892099144611 -0.487603593598668
