LMM GLMM GEE
0 -0.407567787105067 0
0 -0.658797443106398 0
0 -0.406119592195155 0
0 -0.426921265509228 0
0 -0.426238144401206 0
0 -0.385479495676111 0
0 -0.441342069954667 0
0 -0.448594774522612 0
0 -0.180102618547465 0
0 -0.265114423131677 0
0 -0.306220364578687 0
0 -0.267751815240038 0
0 -0.482437989472983 0
0 -0.500750061785998 0
0 -0.488954603217195 0
0 -0.13742333798056 0
0 -0.644393908934688 0
0 -0.306746162712002 0
0 -0.335057966796195 0
0 -0.654864971519239 0
0 -0.298910219935169 0
0 -0.537987881246655 0
0 -0.283791536810708 0
0 0.217476347431785 0
0 -0.681608238499733 0
0 -0.505263171652712 0
0 -0.35675951457643 0
0 -0.351754765580267 0
0 -0.422311975931284 0
0 -0.40380685902726 0
0 -0.371028069031941 0
0 -0.670018830577657 0
0 -0.478014379405741 0
0 -0.287913381255515 0
0 -0.0811335205610348 0
0 -0.227392571959532 0
0 -0.585262483471398 0
0 -0.582656655178397 0
0 -0.669701374031297 0
0 -0.141416965577855 0
0 -0.624504746691575 0
0 -0.55302404994979 0
0 -0.380658888857642 0
0 -0.375061252532718 0
0 -0.398120463190323 0
0 -0.539234964071243 0
0 -0.472020872944714 0
0 -0.612617561778214 0
0 -0.597548664567668 0
0 -0.190405565229612 0
0 -0.390699415351312 0
0 -0.622553735743955 0
0 -0.0954486700356793 0
0 -0.439342603618103 0
0 -0.553830575754017 0
0 -0.142883991449092 0
0 -0.441272597860966 0
0 -0.241072369652592 0
0 -0.299918766826637 0
0 -0.417448515429722 0
0 -0.287803401937058 0
0 -0.267185773883934 0
0 -0.455478405121854 0
0 -0.425041615906803 0
0 -0.536884144762515 0
0 -0.0793401118815849 0
0 -0.197355089086365 0
0 -0.307374267689953 0
0 -0.499368686048109 0
0 -0.68283358962059 0
0 -0.488758757141107 0
0 -0.461745818707355 0
0 -0.278292904743623 0
0 -0.539506534060388 0
0 -0.626357470081105 0
0 -0.593515094356457 0
0 -0.140119214235996 0
0 -0.281740681308788 0
0 -0.160721088865474 0
0 -0.458126782585118 0
0 -0.588322348728322 0
0 -0.434503331230203 0
0 -0.354561238873965 0
0 -0.413660915253106 0
0 -0.31654262521068 0
0 -0.588910113166941 0
0 -0.261983959991999 0
0 -0.55965641726758 0
0 -0.538759714058665 0
0 -0.249088259338329 0
0 -0.514307607936614 0
0 -0.276103580673964 0
0 -0.43811016393294 0
0 -0.68286113905242 0
0 -0.378300238510844 0
0 -0.267096640425885 0
0 -0.0212520116804213 0
0 -0.396595831639005 0
0 -0.397004009492415 0
0 -0.283812235081618 0
