LMM GLMM GEE
-0.0227550980523425 -0.61836864548105 -0.584428602879196
-0.0219503685687562 -0.60235137711895 -0.626586721729247
-0.0242724176121574 -0.753367400618096 -0.799052207249285
-0.0127620235526583 -0.416259847840717 -0.400670165615508
-0.0283942953819302 -0.781546702507213 -0.736648174701387
-0.0305419478918864 -0.869102558931989 -0.883160713231389
-0.025268679835984 -0.73073815156205 -0.732803600807912
-0.0176650767235025 -0.438313178733872 -0.427606205164819
-0.028077467330441 -0.853211313961359 -0.918498303665347
-0.0280824570757421 -0.8806325461166 -0.869215979756721
-0.0243769242263759 -0.769368116819811 -0.716606615234255
-0.0219046902552445 -0.547661064770493 -0.541364947835328
-0.0295726506056394 -0.924215767652189 -0.936678881624849
-0.016442362396473 -0.469752654925912 -0.423362883613467
-0.0160719630619782 -0.525734366578957 -0.478877400451146
-0.0347782931793083 -0.850824472965578 -0.830576616549418
-0.0351617609934123 -1.00784104400316 -1.02222323399588
-0.0311640038612704 -0.890540456707891 -0.857478107269468
-0.0339657815231464 -1.08848722439176 -1.17369162259241
-0.0243890581037098 -0.610594840665758 -0.590326041901111
-0.0225253401518067 -0.70520992400723 -0.727213636115182
-0.0246439091407798 -0.647960740101745 -0.68691355364021
-0.033748090302785 -1.02632435381205 -0.957719899226184
-0.0278539158201636 -0.891644605666007 -0.903878131207219
-0.0318191579018388 -1.03471411362845 -0.992459742481978
-0.028049506261141 -0.855509764236276 -0.889615532338847
-0.0206310263337714 -0.716574828160288 -0.753471910836229
-0.0185141662963079 -0.51618890060916 -0.467091732880631
-0.0207767078173838 -0.53780345000047 -0.523946745132462
-0.0233360803083021 -0.675375555092974 -0.770305458547157
-0.0199961944541287 -0.588956835894043 -0.568610451814702
-0.0362727428128531 -1.24730214252509 -1.19475587486883
-0.02270109238316 -0.877005327381586 -0.8864934630158
-0.0266137775889127 -0.794187295860503 -0.789627212727225
-0.026119215865132 -0.707631184088144 -0.73478600704958
-0.0295607231193095 -0.773224587558355 -0.843842394213669
-0.0365084721612231 -1.08936876228369 -1.07244027502905
-0.0192546362428628 -0.576336687418307 -0.596229160206154
-0.0144598110165454 -0.513187657606922 -0.482811902901998
-0.0242499868672756 -0.700459002216871 -0.651109339002439
-0.0242008236822199 -0.712922616122064 -0.716973863732715
-0.0178614372859335 -0.474195075206706 -0.480814699399525
-0.026659249696594 -0.764945505900044 -0.783106766701129
-0.0237764068256139 -0.661989181438373 -0.669500089256445
-0.0315016555643274 -0.938126040220478 -0.87316059883813
-0.025114221429228 -0.830588807666457 -0.808035921526168
-0.0274615655504894 -0.724123012446134 -0.70295688707497
-0.0215461843237499 -0.573623413281515 -0.575913750510724
