LMM GLMM GEE
-0.0167607851560175 -0.0199527349211534 -0.0157539634597648
-0.0251270119077312 -0.0236302913878069 -0.0235281420463656
-0.0152006614117608 -0.0163735078539301 -0.0156524550949437
-0.0188118130487235 -0.0226853828755572 -0.0183000996434658
-0.0192703737970784 -0.0203951801516625 -0.0189001801319514
-0.0117776429450315 -0.0168055436233938 -0.0141315809079698
-0.0159883381230726 -0.0210675723892095 -0.016247555960062
-0.0175389395156379 -0.0176556439141786 -0.0164687187650017
-0.007 -0.00753484298773225 -0.00746580209851449
-0.00992308473037649 -0.011623864515412 -0.0105066333829924
-0.0113394921776653 -0.0132699505458098 -0.0112762836902931
-0.00959848111292792 -0.0128880840069283 -0.00929161057499252
-0.0192763649971365 -0.0192611525606402 -0.0197774510682252
-0.0187242918001438 -0.0213297185044728 -0.0200603000933841
-0.0176300664259058 -0.0173133216919465 -0.017832134396889
-0.00601113632572531 -0.00203659826546282 -0.00595428685288249
-0.0244027389660415 -0.0256634908791885 -0.0242553443929961
-0.0141733748196824 -0.0118099696880476 -0.015219630358744
-0.0122292896631766 -0.00934171094710211 -0.0118575412937722
-0.0260226173496595 -0.0264520296194019 -0.0275074020431152
-0.0130180592190664 -0.0136674798247361 -0.0127594716231282
-0.021072578828458 -0.0180984988021393 -0.020435282857089
-0.0113573366623774 -0.0145809910553326 -0.0108739471017528
0.00996226905563455 0.00991196022104495 0.00854679702019739
-0.0284962047677751 -0.0236496969085526 -0.0275435755446527
-0.0212810795932129 -0.0212767968381635 -0.0209270829302313
-0.0141707005427071 -0.0154198011810576 -0.013106675625315
-0.0137834568417936 -0.0162064294819228 -0.0139817315619674
-0.0170750383342381 -0.0234978899760149 -0.0180785473090744
-0.0184972431313966 -0.018616841225822 -0.0186863569977184
-0.0154116514045725 -0.0182045658637255 -0.013816371985326
-0.021658635974048 -0.0215709909545184 -0.0209037564674677
-0.0177239823600731 -0.0166120013744904 -0.0176768436549694
-0.012222916283545 -0.0126197989299584 -0.0121732723549607
-0.00332544490140454 -0.000827269045443199 -0.00297159144786031
-0.0095709432410429 -0.0112114177665793 -0.00872612877281909
-0.0210004990868151 -0.0195873662412977 -0.0201131905085414
-0.0229051386751017 -0.0189698522271429 -0.0215120283205037
-0.0229922378614536 -0.0220325258455329 -0.0228259628984534
-0.00715733688985029 -0.0057376203376441 -0.00506466234718695
-0.0214301239668387 -0.0195827649278143 -0.0215412796129309
-0.0240221194407743 -0.0218867974879143 -0.0233539222357977
-0.0162196014374102 -0.0165325778233278 -0.0157848820472207
-0.0161433450226893 -0.0163821041030739 -0.0155973355976901
-0.0158136190408145 -0.0171347115904046 -0.0149575891349772
-0.0219505720956684 -0.0208394734677345 -0.0211348423482352
-0.020465359917432 -0.0220934167307595 -0.0220841440187018
-0.0216810352262598 -0.0171784268923595 -0.0212656803100968
-0.0225422063442573 -0.0201488639998653 -0.0226747811133599
-0.00732416239784033 -0.0115274208308603 -0.00774759127775898
-0.0160793561129806 -0.0183936258494198 -0.0161451622139896
-0.0211449084508383 -0.017448917884631 -0.0196713134033078
-0.00357875342219564 -0.00216902423845571 -0.0038666321451063
-0.0168329275906163 -0.0157503457639359 -0.0158454533203696
-0.0213494871303306 -0.0204976412059716 -0.0206213189321669
-0.00680559604633604 -0.00737198336630905 -0.00748222633918051
-0.0161819961463345 -0.0151780630318942 -0.0160354315226105
-0.00918491204941261 -0.0115030458372822 -0.00947601304347872
-0.0115079829204169 -0.00592614796802255 -0.0111912654678716
-0.0168090375669206 -0.0171111265806226 -0.0164556729623047
-0.0130258507300057 -0.0115084531144915 -0.013212433324051
-0.0110272930093203 -0.0116538122292565 -0.0103356056621906
-0.0198084901534814 -0.0190079617425673 -0.0183323481540769
-0.0157212594929979 -0.00768546043066478 -0.015541371639218
-0.022158764622024 -0.0192256659185877 -0.0228183284119411
-0.00307814030678665 -0.00473975430181342 -0.00377828653092954
-0.00803261902614477 -0.0136770753796482 -0.00894856535146052
-0.0107631403847115 -0.0130918447859496 -0.011836055496233
-0.0216675626255189 -0.0213043250573044 -0.0207030505195885
-0.0274132307978893 -0.0304070368272358 -0.0280991398263423
-0.0228888998751313 -0.0216431424092637 -0.0223172753469294
-0.0192646872771067 -0.0192243470509734 -0.019353829444368
-0.011239841972774 -0.0111142133013876 -0.0121705429058187
-0.0227853487473597 -0.0239741411406109 -0.0232220582518812
-0.0254078027738915 -0.0235632670958885 -0.0250071818092203
-0.0224225501369849 -0.018230806604965 -0.0206213840716039
-0.00584830454341764 -0.00620224383027381 -0.00602986401998263
-0.0090709648143557 -0.0108716452438981 -0.0102679861005592
-0.00625530103190512 -0.00628485801416179 -0.00616550045075502
-0.0162593760273244 -0.016201161389745 -0.0175756026334807
-0.021 -0.0233648117166935 -0.0210107574755808
-0.0203122428101175 -0.0214747488768195 -0.0206089668751313
-0.0165736811934767 -0.0110929459698439 -0.01582835467916
-0.0146829196447331 -0.0158750126409036 -0.0161189738026667
-0.0135874303290577 -0.0162752601465003 -0.0126318758495773
-0.0225671788264271 -0.0232413660919068 -0.0209629653541956
-0.0096611251800679 -0.0117430523029985 -0.0091445536946412
-0.0230959593824673 -0.0156870936446143 -0.023168764954937
-0.0183779290219896 -0.0167575739635053 -0.0181195118193354
-0.0103376667178296 -0.0121002441519174 -0.0106234794958817
-0.019327564391686 -0.0185140573938702 -0.0183823630632388
-0.00871637109454322 -0.0130204423816013 -0.0113594191156338
-0.0177762270857666 -0.0202096611649144 -0.0170941163846623
-0.0255108854558219 -0.0216234198742841 -0.0257376644877531
-0.016389559921774 -0.0165594066841425 -0.0159998112651298
-0.0111557412459656 -0.0145641587035655 -0.0109097062821738
-0.00095906389305706 -0.00147841418304177 -0.00130596665747053
-0.0162383927137692 -0.0168393720561241 -0.0164716082567765
-0.0153533474264723 -0.0147980295746258 -0.0144209449570029
-0.0123703748872176 -0.0100575830713905 -0.0118246503871939
-0.0088098535281819 -0.0094871862082554 -0.00825160646492896
-0.00875545143100628 -0.00883718043863185 -0.00909719221502874
-0.00696068164040715 -0.00994630707348905 -0.00679263713804696
-0.023364717548621 -0.0224186228853098 -0.0232096145345677
-0.0179791460970964 -0.0210189184217396 -0.0185998343251376
-0.0261041127351369 -0.0265561353135761 -0.0260293215169743
-0.0212963339873837 -0.0215676629957598 -0.0209767257685977
-0.0150713820611758 -0.014715797867894 -0.0166444509270815
-0.0147672005045905 -0.0249442188560038 -0.0161113926956007
-0.0171252603352408 -0.0165815419305846 -0.0184080761323454
-0.0186093487585361 -0.0216925091722784 -0.0183378768655262
-0.0165626994413027 -0.0134699864714107 -0.017687362149794
-0.00792005816051423 -0.00725073046434269 -0.00705088998506618
-0.0109406826815215 -0.0110533404197573 -0.0102704359159631
-0.00428065641557367 -0.00192165296802618 -0.00411822962022016
-0.022886512117888 -0.0163792891304562 -0.0215479296312084
