LMM GLMM GEE
-0.0227550980523425 -0.0232136083763537 -0.0238756528637317
-0.0219503685687562 -0.0231772746755279 -0.0222192490787576
-0.0242724176121574 -0.0277312916293874 -0.0247605940097723
-0.0127620235526583 -0.0124702667617599 -0.0133504946986509
-0.0283942953819302 -0.029280571915145 -0.0276026656441604
-0.0305419478918864 -0.0301049091228724 -0.0300864141821034
-0.025268679835984 -0.0279829989604372 -0.0276718187349929
-0.0176650767235025 -0.0171020129560076 -0.0179622690535252
-0.028077467330441 -0.03323480976572 -0.0269077231343132
-0.0280824570757421 -0.0281814927074341 -0.0301510842162481
-0.0243769242263759 -0.025083747343983 -0.0244505887069635
-0.0219046902552445 -0.0226557214838252 -0.0213905254545883
-0.0295726506056394 -0.0301419096802986 -0.0273781935759017
-0.016442362396473 -0.0213598174322243 -0.0154070711869179
-0.0160719630619782 -0.0145681587197886 -0.0158228018638972
-0.0347782931793083 -0.0330792473085275 -0.0341036865030615
-0.0351617609934123 -0.0347693909168552 -0.0341820283293953
-0.0311640038612704 -0.0271954112540388 -0.0311831299209746
-0.0339657815231464 -0.0342248408914017 -0.0337616391346308
-0.0243890581037098 -0.0224498481533549 -0.0238695385922286
-0.0225253401518067 -0.0247790604083943 -0.0234680281324298
-0.0246439091407798 -0.0290011505865839 -0.0237049037584287
-0.033748090302785 -0.0328785973484041 -0.0310053974744775
-0.0278539158201636 -0.0289686937454051 -0.0262051037412724
-0.0318191579018388 -0.0332755248601894 -0.0351927364353997
-0.028049506261141 -0.0283811236383105 -0.026525273598066
-0.0206310263337714 -0.0243715509809309 -0.0214781073496143
-0.0185141662963079 -0.0190311802208012 -0.0174769370412573
-0.0207767078173838 -0.0263293049063647 -0.020190880736872
-0.0233360803083021 -0.021693579637466 -0.0232600925171196
-0.0199961944541287 -0.0206137985090518 -0.0195903796027717
-0.0362727428128531 -0.0301906996020046 -0.0360595000215164
-0.02270109238316 -0.0288840895392623 -0.023100741846342
-0.0266137775889127 -0.0278589608896615 -0.0257957393078982
-0.026119215865132 -0.0272048940421703 -0.0260384814519527
-0.0295607231193095 -0.0321977559615952 -0.0299263395877004
-0.0365084721612231 -0.032714324932321 -0.0370504664178853
-0.0192546362428628 -0.0194136116538694 -0.0210575512059057
-0.0144598110165454 -0.0192892947413615 -0.0147633792083127
-0.0242499868672756 -0.0211513713101076 -0.0237242089911606
-0.0242008236822199 -0.0263511308871903 -0.0262944899504159
-0.0178614372859335 -0.0210920461692852 -0.0179085037107913
-0.026659249696594 -0.0263525491183631 -0.0270963103117137
-0.0237764068256139 -0.0256766574440008 -0.0230294425995871
-0.0315016555643274 -0.0274501572490727 -0.0294394619057656
-0.025114221429228 -0.0257527279435463 -0.0237803722756467
-0.0274615655504894 -0.029180420510961 -0.0279355708126993
-0.0215461843237499 -0.025463057702342 -0.0206625543697519
-0.0239896546346997 -0.0235058926426758 -0.0251671446656349
-0.030204504580011 -0.0243126793870565 -0.0293050110239369
-0.029039805215164 -0.0290080661497446 -0.0295585401388034
-0.0263065740481216 -0.0281889789049531 -0.0264699279710755
-0.0316055948872537 -0.0347232528287424 -0.0323885457950074
-0.0241233084764118 -0.0266313797786955 -0.0238474636883651
-0.0230039548003575 -0.0233065217017478 -0.0236995966930977
-0.0237859571072152 -0.0215605670484451 -0.0245730731305727
-0.0244087646085985 -0.0280033525302469 -0.0259531037701466
-0.0240192592315523 -0.0260891098319173 -0.0230476167877941
-0.0255750118417046 -0.0275331363428132 -0.0270701234412046
-0.0345702173241343 -0.0368603677922722 -0.035520940019808
-0.0337660852277204 -0.0291532219917826 -0.0313802758943891
-0.0257130396762645 -0.0223015870512692 -0.0274723713471292
-0.0306921622966293 -0.0306005506196866 -0.0292978314598112
-0.0224932921461843 -0.0265652455746259 -0.0236407910927267
-0.0309024527537873 -0.0256715014693103 -0.0294076521224383
-0.0216495634610555 -0.0224625753244985 -0.0217446988375664
-0.0270807758683558 -0.0306425329529161 -0.027449156327468
-0.0277609998557584 -0.0291121413080097 -0.0289123687874337
-0.031240429342586 -0.0326055209425372 -0.0315115852907295
-0.0307383457257873 -0.0284653029411862 -0.0311807220758265
-0.035045557018301 -0.030804489001137 -0.0322860987512172
-0.0258569014283637 -0.0227938181121479 -0.026383080385403
-0.0265689742806377 -0.0249014918449904 -0.0262023569967805
-0.0379541412380262 -0.032924855775454 -0.0387148264686425
-0.0224999698017518 -0.0284433480384656 -0.0223599224321262
-0.0227784037305028 -0.0248936267349463 -0.0227453742885554
-0.0264287216931742 -0.0316338747995848 -0.0266443572483184
-0.0323681008679397 -0.0274592477317876 -0.0303757248100858
-0.0342564960538203 -0.0318995923434691 -0.0372206220027668
-0.0349784862989427 -0.0337059110612096 -0.0340867127163509
-0.0197191691518964 -0.0202680097175745 -0.0202810009462317
-0.0255523632087011 -0.0256548461141616 -0.0261860673671917
-0.0230633099368772 -0.0261874653138901 -0.0238198998633928
-0.0245007598728201 -0.0267521611829854 -0.0254936932375899
-0.0197844435342212 -0.0235346195386383 -0.0203300685953988
-0.0207999866544912 -0.0186408136350383 -0.0206446527342139
-0.0269841576262323 -0.0247801565489359 -0.0256520688708995
-0.0222310229023252 -0.0232742702978453 -0.022817209566947
-0.026469146531329 -0.0267909502003035 -0.0260630114809519
-0.0210498894448436 -0.0201845332909962 -0.0198161200635994
-0.0390370824548618 -0.0376768261212426 -0.0376627795555752
-0.0154186301961156 -0.0201908361020033 -0.0153990506985457
-0.0244264154787055 -0.022528064912869 -0.024636856596491
-0.0228003741224467 -0.0262578532371117 -0.0223956315162739
-0.0246946864488346 -0.0252232076554302 -0.024650394680309
-0.0246168673369755 -0.0254375454691412 -0.0240981606385969
-0.0109803906483492 -0.0136666462703271 -0.0113313944038778
-0.016499631296422 -0.0170375669536398 -0.0165035503856288
-0.0267747828762028 -0.0221413902969305 -0.0264061044386027
-0.025934986593627 -0.0243972422834514 -0.0257510336623929
-0.02653188082283 -0.0256960125864456 -0.0257471801190318
-0.0245346082452892 -0.0272527826101097 -0.0237525135377319
-0.0328377513867059 -0.0312131720257278 -0.0331271256441353
-0.0238342284981075 -0.0266080891936409 -0.0240085510073897
-0.0190380335803016 -0.0207615087050038 -0.0200771922962861
-0.0195799970787763 -0.0190165300206231 -0.0187256891207013
-0.0261664893251744 -0.0300959530305642 -0.0269901237462984
-0.0154671349474846 -0.0232532111769416 -0.0156524705293644
-0.022670910115378 -0.0255432529069698 -0.0228325827733741
-0.020190139024575 -0.022801808127488 -0.0198412230894392
-0.0280113716789555 -0.029533693898453 -0.0274652929271239
-0.0261120641901992 -0.0253258921593921 -0.0264966638210844
-0.0210887033793184 -0.0257619388701579 -0.0208305280965619
-0.028057218779758 -0.0287062409888286 -0.0271117996908383
-0.0254950696932452 -0.0242691574721377 -0.0262445444951159
-0.0239328020136179 -0.020220588307454 -0.0233909673168943
-0.0198381002139489 -0.0236208572859225 -0.0187667505005107
-0.0276760905059792 -0.0279035673474484 -0.0261561783232618
-0.0280933207311644 -0.0277868020951177 -0.028083343131693
-0.0127520242117234 -0.0152323512209292 -0.0126176415283824
-0.0243813826545708 -0.0263367288154067 -0.024083647060281
-0.0192005899875329 -0.023478645839783 -0.0194686034109766
-0.0174775797169448 -0.020999413542428 -0.0182198960007289
-0.0254442687025409 -0.021290675911207 -0.0253756386273266
-0.0185067447846846 -0.0174021511920855 -0.0195753650548666
-0.0233021118516539 -0.027076964796604 -0.0229815001444743
-0.0242952802364416 -0.028462784282682 -0.0253612422484769
-0.0248608499097204 -0.0276028538359474 -0.0245886914248427
-0.0105403557538364 -0.0157936781283753 -0.0105313048107364
-0.026556001045265 -0.0299458248048057 -0.0259807384747487
-0.0148441044706742 -0.0209583012278229 -0.0153119300053732
-0.028833502943167 -0.0313560432698799 -0.0290726492420125
-0.0194515203846526 -0.0218371123227119 -0.020183589032488
-0.023991308433562 -0.0264856305910031 -0.024317877236401
-0.0261667012676724 -0.0267993541187131 -0.0254319056655271
-0.025128674136872 -0.0281193471825988 -0.0254873022527757
-0.0233815316489849 -0.027401532747763 -0.0251699706813511
-0.0237760896478451 -0.0246476267293921 -0.0229179350084356
-0.0156006640615981 -0.0162316321557042 -0.0148263199467001
-0.0196994605610655 -0.0226060543120547 -0.0204997196334292
-0.0228165757411423 -0.0225819540166034 -0.022208482063754
-0.0210548237578587 -0.0211466864463273 -0.0201295940426059
-0.02748712370749 -0.0295163544700489 -0.0281493513212594
-0.0262383440148899 -0.0291925427657165 -0.0256250876787086
-0.0204192446651608 -0.0231133926214933 -0.0204216453955697
-0.0246302983660245 -0.0244084024141022 -0.0257811921900724
-0.0195289526225151 -0.0196585087341303 -0.0190199086669996
-0.0332241694261024 -0.0322854412785703 -0.0331484204902823
-0.0243179283172713 -0.0230998679335737 -0.0242428620275024
-0.0205310005557623 -0.0239770249052508 -0.0206977230086266
-0.0217193382616559 -0.0261608233133927 -0.0215385016807554
-0.0170796473226504 -0.0200393333763938 -0.017322087779591
-0.0218788373324464 -0.0224143220327227 -0.020592234427951
-0.0205797395914141 -0.0215484857878878 -0.0202205216814852
-0.028333715804438 -0.0240450443270694 -0.0261332354766455
-0.0217725041137258 -0.0237802839856 -0.0215269599519912
-0.0226534488818323 -0.0234255055086817 -0.0224432811874333
-0.00844607288703339 -0.0164474460932159 -0.00850446869003467
-0.0177810229059399 -0.0179754582329803 -0.0180316728878951
-0.0190933385399191 -0.0187145384139664 -0.0189967488826203
-0.02455823406993 -0.0229663573353954 -0.023121333317854
-0.0307144874884117 -0.0295620842882804 -0.0299252358836988
-0.0298622106389606 -0.0318443024267625 -0.0294786158507626
-0.0392994455175857 -0.0396473263178703 -0.0398359221609388
-0.0215593659483219 -0.0223848223131999 -0.0228675697748293
-0.0195955382230215 -0.0213440621849053 -0.0192516689584538
-0.0310886053997493 -0.0295250694788536 -0.0316409537408519
-0.0277191602250351 -0.0286958265200518 -0.0301815527270607
-0.0279702808883961 -0.030404273537942 -0.0273798103810052
-0.029596963113632 -0.0296369980971349 -0.0322313874666529
-0.0140246214029629 -0.0187480681352873 -0.0144460601625242
-0.0265259393723327 -0.027960017901432 -0.0249684171789341
-0.0141705809734565 -0.0203806504193316 -0.014762239015818
-0.0276829257165551 -0.0239256280569282 -0.0271512680085694
-0.0208716916281188 -0.0224014078870504 -0.0214194979350546
-0.0407119062440741 -0.0383265251131352 -0.0421438915496358
-0.031735622707826 -0.0301009414282039 -0.0330459339880847
-0.0151244831187976 -0.018131154134093 -0.0143720334452411
-0.0329598974458636 -0.0336179832945264 -0.0319639616749792
-0.0232809937788929 -0.0254350824917366 -0.0244012464614338
-0.0279801637863092 -0.0310029840925446 -0.0267389259966924
-0.0227290060771645 -0.0205006789527211 -0.0211703333669414
-0.0234117362773068 -0.02479297156755 -0.0236029825290681
-0.0283229865681563 -0.0268852173979961 -0.0282575186332738
-0.0286354487351217 -0.0269874533681788 -0.0278072961797043
-0.0209835798417813 -0.0250143239293248 -0.0215972607298675
-0.0265689767037613 -0.0239943402417217 -0.0252603021746725
-0.0207824367501389 -0.0235206462684659 -0.0193726587782874
-0.0231110255155243 -0.022859155592973 -0.0224613255097162
-0.0244317873800579 -0.0282193560982756 -0.0257803865313465
-0.0274369317716081 -0.0268938256202847 -0.0271868982342379
-0.0178976622106685 -0.0147824072696881 -0.0176180922463407
-0.0324915965976399 -0.0283997255828645 -0.0308944098292046
-0.0296122980190086 -0.0282835503429114 -0.0289814072525153
-0.0328272714365185 -0.0322566982911068 -0.0338899934847451
-0.0299692631781567 -0.0319900707726627 -0.0312060720273616
-0.0307423514561718 -0.0273356833669067 -0.0317834529886439
-0.0201020985546094 -0.0166539378988787 -0.0203802843226427
-0.0212465896938752 -0.0200283329778131 -0.0209879836705611
-0.0219096672049205 -0.0233285320341946 -0.0213232498107724
-0.0202943280779433 -0.0180203467714461 -0.0203046145639519
-0.0212965936287006 -0.0237667258331698 -0.0207931174706667
-0.0220546451146615 -0.0225020506625129 -0.0217100060263495
-0.0261948532029491 -0.0289597736415332 -0.0253076675108271
-0.0268173521151131 -0.0272440676346245 -0.0275821437792515
-0.027801460839424 -0.0238170207143247 -0.025972342124482
-0.0175822070252286 -0.0204157919408028 -0.0173045658204084
-0.0150218010680982 -0.0161834760261196 -0.014553958082794
-0.0245206617952933 -0.0221563456202341 -0.0270887643940288
-0.0224364880324562 -0.0191266625744914 -0.0202663182387313
-0.0268440677731544 -0.02809364295014 -0.0279710295703792
-0.00570163409387611 -0.01520555788173 -0.00688797223655277
-0.0404521363962846 -0.0404722894639975 -0.0382895916159403
-0.0276519001300051 -0.027055688415004 -0.0273180088515533
